OBJECTID,SEGMENT,ADT,ID,STREETNAME,STREETADDRESS,FILENAME,PERCENTILESPEED85,OUTCOME,COLLECTIONTYPE,X,Y,YEAR,PRE_NTMP_ADT,POST_NTMP_ADT,PRE_NTMP_SPEED,POST_NTMP_SPEED,POINT_X,POINT_Y
86,SOUTH HOUSTON S CL TO EDGEBROOK,17188,634,GALVESTON,7311,0634,,SUCCESS,MAJOR THOROUGHFARE ADT,3167812.98,13803319.68,2009,,,,,-95.22342642,29.65020386
87,GENOA RED BLUFF TO FM 2553,22019,637,GALVESTON,10230,0637,,SUCCESS,MAJOR THOROUGHFARE ADT,3177233.52,13792388.42,2009,,,,,-95.19490198,29.619318
88,GALVESTON RD TO ALLEN GENOA RD,20175,648,GENOA RED BLUFF,321,0648,,SUCCESS,MAJOR THOROUGHFARE ADT,3176753.52,13793716.73,2012,,,,,-95.19627601,29.623012
89,SOUTH BELT TO SPACE CENTER,20301,651,GENOA RED BLUFF,3100,0651,,SUCCESS,MAJOR THOROUGHFARE ADT,3192766.06,13797118.25,2012,,,,,-95.14555,29.63091999
90,HIRSCH TO HOMESTEAD,1709,853,HOPPER,5722,0853,,SUCCESS,MAJOR THOROUGHFARE ADT,3139545.59,13885893.07,2012,,,,,-95.30416499,29.87964799
91,COLLINGSWORTH TO CAVALCADE,4016,885,JENSEN,3651,0885,0,SUCCESS,MAJOR THOROUGHFARE ADT,3128429.13,13856044.54,2012,,,,,-95.34217113,29.79856769
92,CAVALCADE TO NORTH LOOP,5696,886,JENSEN,5000,0886,0,SUCCESS,MAJOR THOROUGHFARE ADT,3128302.08,13858872.26,2012,,,,,-95.34229272,29.80635097
93,NORTH LOOP TO KELLEY,6462,887,JENSEN,5719,0887,0,SUCCESS,MAJOR THOROUGHFARE ADT,3128213.42,13860936.86,2012,,,,,-95.34236858,29.8120334
94,KELLEY TO CROSSTIMBERS,7762,888,JENSEN,7000,0888,0,SUCCESS,MAJOR THOROUGHFARE ADT,3128024.34,13864892.59,2012,,,,,-95.34257449,29.82292245
95,BERRY TO TIDWELL,10338,890,JENSEN,8908,0890,,SUCCESS,MAJOR THOROUGHFARE ADT,3127738.29,13871425.7,2012,,,,,-95.34283198,29.84090399
96,HOLLISTER TO CAMPBELL,13719,911,KEMPWOOD,9300,0911,,SUCCESS,MAJOR THOROUGHFARE ADT,3071356.86,13862845.07,2010,,,,,-95.521402,29.82204799
97,CAMPBELL TO GESSNER,14667,912,KEMPWOOD,9800,0912,,SUCCESS,MAJOR THOROUGHFARE ADT,3067189.14,13862674.01,2010,,,,,-95.534556,29.82191799
98,KIRKWOOD TO DAIRY ASHFORD,28643,183,BELLFORT,12200,0183,,SUCCESS,MAJOR THOROUGHFARE ADT,3050823.69,13802858.83,2011,,,,,-95.59164278,29.65881836
99,W ALABAMA TO RICHMOND,37710,928,KIRBY,3150,0928,,SUCCESS,MAJOR THOROUGHFARE ADT,3104843.88,13832749.87,2010,,,,,-95.41874899,29.736545
100,S MAIN TO OLD SPANISH TRAIL,25769,935,KIRBY,7919,0935,,SUCCESS,MAJOR THOROUGHFARE ADT,3107020.35,13817101.08,2010,,,,,-95.413406,29.69334699
101,ALMEDA TO ARDMORE,10828,1050,MACGREGOR N,2400,1050,,SUCCESS,MAJOR THOROUGHFARE ADT,3118540.21,13824765.82,2012,,,,,-95.37639099,29.71343899
102,WATONGA TO W 43RD ST,5671,1086,MANGUM,4112,1086,,SUCCESS,MAJOR THOROUGHFARE ADT,3090075.85,13865777.32,2010,,,,,-95.462115,29.82856399
103,OLD SPANISH TRAIL TO GRIGGS,13608,1097,MARTIN LUTHER KING,5306,1097,,SUCCESS,MAJOR THOROUGHFARE ADT,3131874.85,13821385.62,2009,,,,,-95.33473642,29.70300523
104,REED RD TO AIRPORT,13713,1101,MARTIN LUTHER KING,9000,1101,,SUCCESS,MAJOR THOROUGHFARE ADT,3131911.84,13803181.48,2012,,,,,-95.336416,29.65296399
105,CRAWFORD TO JACKSON,7103,1116,MCGOWEN,1603,1116,,SUCCESS,MAJOR THOROUGHFARE ADT,3120742.87,13835227.87,2011,,,,,-95.36843188,29.74200826
106,DETERING TO WESTCOTT,48290,1130,MEMORIAL,5650,1130,,SUCCESS,MAJOR THOROUGHFARE ADT,3104485.9,13841773.27,2011,,,,,-95.419006,29.76137801
107,ALMEDA GENOA TO FUQUA,8863,1160,MONROE,10117,1160,,SUCCESS,MAJOR THOROUGHFARE ADT,3154437.43,13791762.25,2009,,,,,-95.26667801,29.619617
108,SHEPHERD TO W LITTLE YORK,8938,1163,MONTGOMERY W,7100,1163,,SUCCESS,MAJOR THOROUGHFARE ADT,3101925.72,13877458.66,2012,,,,,-95.42363255,29.85968113
109,W LITTLE YORK TO VICTORY,13151,1164,MONTGOMERY W,8011,1164,,SUCCESS,MAJOR THOROUGHFARE ADT,3099416.51,13879770.82,2012,,,,,-95.43132256,29.86624718
110,AIRPORT TO ALMEDA GENOA,12573,1180,MYKAWA,9726,1180,,SUCCESS,MAJOR THOROUGHFARE ADT,3140525.83,13798033.67,2012,,,,,-95.30981975,29.63806939
111,ALMEDA GENOA TO CLEAR CREEK,9163,1181,MYKAWA,12100,1181,,SUCCESS,MAJOR THOROUGHFARE ADT,3144226.85,13785499.23,2012,,,,,-95.299423,29.60329399
112,UPPER BAY TO AVENUE B,38575,1184,NASA RD ONE,2500,1184,,SUCCESS,MAJOR THOROUGHFARE ADT,3212841.21,13769348.73,2012,,,,,-95.08531801,29.55275899
113,GREENS TO W RANKIN,4059,1197,NORTHBOROUGH,13030,1197,0,SUCCESS,MAJOR THOROUGHFARE ADT,3100990.35,13912831.55,2010,,,,,-95.42316959,29.95698564
114,W CITY LIMITS TO WOODLAND HILLS,37063,1200,NORTH PARK,1900,1200,47.5,SUCCESS,MAJOR THOROUGHFARE ADT,3163785.07,13955407.9,2012,,,,,-95.22063001,30.06857399
115,S MAIN TO FANNIN,25094,1209,OLD SPANISH TRAIL,1400,1209,,SUCCESS,MAJOR THOROUGHFARE ADT,3108348.34,13817272.78,2011,,,,,-95.40920855,29.69370691
116,FANNIN TO ALMEDA,10033,1210,OLD SPANISH TRAIL,2300,1210,,SUCCESS,MAJOR THOROUGHFARE ADT,3114251.18,13819113.88,2010,,,,,-95.39044599,29.698268
117,S POST OAK TO HIRAM CLARKE,14548,1221,OREM,5123,1221,,SUCCESS,MAJOR THOROUGHFARE ADT,3093446.93,13792691.05,2010,,,,,-95.458467,29.627386
118,ALMEDA TO KIRBY,8930,1224,OREM,2201,1224,,SUCCESS,MAJOR THOROUGHFARE ADT,3111074.29,13793261.54,2011,,,,,-95.40295231,29.62747491
119,WESTHEIMER TO RICHMOND,18317,948,KIRKWOOD,2800,0948,,SUCCESS,MAJOR THOROUGHFARE ADT,3050783.23,13829936.84,2011,,,,,-95.58928398,29.73325599
120,ALIEF CLODINE TO BELLAIRE,13626,951,KIRKWOOD,4410,0951,,SUCCESS,MAJOR THOROUGHFARE ADT,3051435.49,13821011.1,2011,,,,,-95.58805001,29.708668
121,BEECHNUT TO BISSONNET,18594,953,KIRKWOOD,8811,0953,,SUCCESS,MAJOR THOROUGHFARE ADT,3051897.25,13811490.53,2011,,,,,-95.587471,29.68246
122,EASTEX FWY TO DOWLING,4475,976,LEELAND,2200,0976,,SUCCESS,MAJOR THOROUGHFARE ADT,3124125.84,13836751.5,2011,,,,,-95.35762699,29.74590698
123,PARK PLACE BLVD TO TELEPHONE,19273,1324,REVEILLE,4400,1324,,SUCCESS,MAJOR THOROUGHFARE ADT,3146324.93,13813730.92,2011,,,,,-95.29000585,29.68071202
124,SPUR 527 TO MONTROSE,14203,1336,RICHMOND,600,1336,,SUCCESS,MAJOR THOROUGHFARE ADT,3114770.28,13832309.45,2011,,,,,-95.38752799,29.73449499
125,CHIMNEY ROCK TO FOUNTAINVIEW,34214,1344,RICHMOND,5633,1344,,SUCCESS,MAJOR THOROUGHFARE ADT,3086005.68,13830300.05,2010,,,,,-95.47831499,29.73138398
126,WEST LOOP TO SAGE,42935,1377,SAN FELIPE,4800,1377,,SUCCESS,MAJOR THOROUGHFARE ADT,3092187.56,13837074.84,2011,,,,,-95.45819899,29.74949301
127,S WAYSIDE TO MYKAWA,709,1389,SCHURMIER,6250,1389,,SUCCESS,MAJOR THOROUGHFARE ADT,3140313.42,13786943.19,2012,,,,,-95.311589,29.60760299
128,KATY FWY TO W 11TH ST,23262,1416,SHEPHERD N,920,1416,,SUCCESS,MAJOR THOROUGHFARE ADT,3107089.78,13851468.2,2010,,,,,-95.40986498,29.787807
129,TIERWESTER TO SCOTT,6005,1440,SOUTHMORE,3528,1440,,SUCCESS,MAJOR THOROUGHFARE ADT,3123983.33,13825036.43,2009,,,,,-95.35922499,29.713718
130,GENOA RED BLUFF TO WILLOW HEIGHTS,14304,1441,SPACE CENTER,12442,1441,,SUCCESS,MAJOR THOROUGHFARE ADT,3194267.73,13788195.99,2009,,,,,-95.14175198,29.60625999
131,WILLOWBEND TO S MAIN,11155,1453,STELLA LINK,11500,1453,,SUCCESS,MAJOR THOROUGHFARE ADT,3098966.4,13805731.82,2010,,,,,-95.43985201,29.66277199
132,WESTHEIMER TO BRIAR FOREST,74553,1455,SH 6,2150,1455,,SUCCESS,MAJOR THOROUGHFARE ADT,3033168.83,13833029.72,2011,,,,,-95.64448399,29.74315899
133,WASHINGTON TO KATY FWY,9950,1474,TC JESTER,230,1474,,SUCCESS,MAJOR THOROUGHFARE ADT,3104662.04,13846579,2013,,,,,-95.41798724,29.77457275
134,CAMPBELL TO GESSNER,3796,1489,TANNER,9900,1489,,SUCCESS,MAJOR THOROUGHFARE ADT,3065267.83,13872852.33,2010,,,,,-95.53966298,29.85005199
135,MARTIN LUTHER KING TO WAYSIDE,6649,1229,OREM,5600,1229,0,SUCCESS,MAJOR THOROUGHFARE ADT,3134270.93,13793309.24,2011,,,,,-95.32996733,29.62562436
136,TELEPHONE TO REVEILLE,11768,1236,PARK PLACE,7501,1236,,SUCCESS,MAJOR THOROUGHFARE ADT,3145462.99,13815350.84,2009,,,,,-95.29255733,29.68523982
137,REVEILLE TO GULF FWY,15990,1237,PARK PLACE,7730,1237,,SUCCESS,MAJOR THOROUGHFARE ADT,3147811.75,13815483.41,2009,,,,,-95.28515042,29.68539928
138,BROADFIELD TO SH 6,10583,1242,PARK ROW,15211,1242,,SUCCESS,MAJOR THOROUGHFARE ADT,3030185.38,13849681.24,2010,,,,,-95.65238,29.78916701
139,NORTH FWY TO AIRLINE FULTON,18027,1245,PARKER,300,1245,1,SUCCESS,MAJOR THOROUGHFARE ADT,3111369.77,13877738.99,2012,,,,,-95.39382464,29.85965429
140,ELLA BLVD TO ROSSLYN,8623,1264,PINEMONT,3517,1264,,SUCCESS,MAJOR THOROUGHFARE ADT,3098967.31,13870624.94,2010,,,,,-95.43361898,29.84114601
141,ROSSLYN TO W TC JESTER,9612,1265,PINEMONT,4512,1265,,SUCCESS,MAJOR THOROUGHFARE ADT,3093358.38,13870427.34,2010,,,,,-95.45132201,29.84107199
142,CHARTRES TO SCOTT,3575,1270,POLK,2600,1270,,SUCCESS,MAJOR THOROUGHFARE ADT,3125655.66,13836958.55,2009,,,,,-95.35278798,29.74634501
143,HEMPSTEAD TO WESTVIEW,14547,1278,POST OAK RD N,1500,1278,,SUCCESS,MAJOR THOROUGHFARE ADT,3092156.55,13854527.8,2008,,,,,-95.45663047,29.79746917
